f, module, argument
1.000000000000000000e+01,1.000000000000000000e+00,-7.631998871534052820e-02
1.009262190987047347e+01,1.000000000000000000e+00,-7.702687881499679923e-02
1.018610170155975858e+01,1.000000000000000000e+00,-7.774031625981875360e-02
1.028044732093309221e+01,9.999999999999998890e-01,-7.846036169240101776e-02
1.037566678745185911e+01,1.000000000000000000e+00,-7.918707631701696337e-02
1.047176819485520305e+01,9.999999999999998890e-01,-7.992052190482069884e-02
1.056875971184804008e+01,1.000000000000000222e+00,-8.066076079909764718e-02
1.066664958279539377e+01,9.999999999999998890e-01,-8.140785592056365427e-02
1.076544612842315374e+01,1.000000000000000000e+00,-8.216187077271291939e-02
1.086515774652538369e+01,9.999999999999998890e-01,-8.292286944721587172e-02
1.096579291267809886e+01,1.000000000000000000e+00,-8.369091662936656295e-02
1.106736018095973328e+01,1.000000000000000000e+00,-8.446607760358107453e-02
1.116986818467823106e+01,9.999999999999998890e-01,-8.524841825894635683e-02
1.127332563710486468e+01,9.999999999999998890e-01,-8.603800509482054104e-02
1.137774133221491368e+01,9.999999999999996669e-01,-8.683490522648557031e-02
1.148312414543511117e+01,9.999999999999998890e-01,-8.763918639085131745e-02
1.158948303439810701e+01,1.000000000000000000e+00,-8.845091695221357631e-02
1.169682703970385340e+01,9.999999999999998890e-01,-8.927016590806464980e-02
1.180516528568804979e+01,1.000000000000000000e+00,-9.009700289495758962e-02
1.191450698119775886e+01,9.999999999999998890e-01,-9.093149819442578052e-02
1.202486142037412264e+01,1.000000000000000000e+00,-9.177372273895605115e-02
1.213623798344240612e+01,9.999999999999998890e-01,-9.262374811801812879e-02
1.224864613750931319e+01,1.000000000000000000e+00,-9.348164658414938322e-02
1.236209543736768524e+01,9.999999999999998890e-01,-9.434749105909601141e-02
1.247659552630869761e+01,1.000000000000000000e+00,-9.522135514001131562e-02
1.259215613694150981e+01,1.000000000000000000e+00,-9.610331310571096353e-02
1.270878709202058943e+01,1.000000000000000000e+00,-9.699343992298686823e-02
1.282649830528060519e+01,9.999999999999998890e-01,-9.789181125297857777e-02
1.294529978227915379e+01,1.000000000000000000e+00,-9.879850345760463060e-02
1.306520162124721196e+01,1.000000000000000000e+00,-9.971359360605298872e-02
