w, module, argument
1.000000000000000000e+00,9.999000099990000556e-02,8.885412260463303369e+01
1.009262190987047614e+00,1.009159396984539853e-01,8.884350998670275601e+01
1.018610170155975769e+00,1.018504493523512550e-01,8.883279909279461606e+01
1.028044732093309266e+00,1.027936091997754542e-01,8.882198901322189499e+01
1.037566678745185822e+00,1.037454992086906114e-01,8.881107882988786173e+01
1.047176819485520216e+00,1.047062000834841355e-01,8.880006761620853695e+01
1.056875971184804142e+00,1.056757932716688581e-01,8.878895443703441970e+01
1.066664958279539333e+00,1.066543609706431667e-01,8.877773834857170243e+01
1.076544612842315507e+00,1.076419861345106060e-01,8.876641839830257652e+01
1.086515774652538235e+00,1.086387524809591526e-01,8.875499362490505462e+01
1.096579291267809841e+00,1.096447444982003444e-01,8.874346305817185510e+01
1.106736018095973551e+00,1.106600474519693622e-01,8.873182571892864701e+01
1.116986818467823106e+00,1.116847473925855483e-01,8.872008061895147080e+01
1.127332563710486735e+00,1.127189311620748757e-01,8.870822676088364744e+01
1.137774133221491235e+00,1.137626864013540906e-01,8.869626313815152230e+01
1.148312414543511073e+00,1.148161015574772625e-01,8.868418873487988208e+01
1.158948303439810923e+00,1.158792658909452572e-01,8.867200252580627762e+01
1.169682703970385207e+00,1.169522694830784082e-01,8.865970347619476399e+01
1.180516528568805068e+00,1.180352032434527909e-01,8.864729054174878797e+01
1.191450698119775886e+00,1.191281589174013750e-01,8.863476266852318020e+01
1.202486142037412220e+00,1.202312290935789313e-01,8.862211879283562155e+01
1.213623798344240834e+00,1.213445072115927753e-01,8.860935784117704372e+01
1.224864613750931364e+00,1.224680875696989996e-01,8.859647873012136188e+01
1.236209543736768612e+00,1.236020653325645563e-01,8.858348036623431199e+01
1.247659552630869584e+00,1.247465365390961894e-01,8.857036164598153505e+01
1.259215613694151026e+00,1.259015981103361881e-01,8.855712145563578019e+01
1.270878709202058587e+00,1.270673478574257109e-01,8.854375867118331200e+01
1.282649830528060475e+00,1.282438844896360841e-01,8.853027215822943674e+01
1.294529978227915601e+00,1.294313076224685166e-01,8.851666077190319015e+01
1.306520162124721107e+00,1.306297177858225522e-01,8.850292335676111577e+01
1.318621401394748593e+00,1.318392164322342297e-01,8.848905874669034688e+01
1.330834724654075041e+00,1.330599059451835486e-01,8.847506576481055163e+01
1.343161170046015984e+00,1.342918896474729618e-01,8.846094322337526705e+01
1.355601785329368481e+00,1.355352718096756170e-01,8.844668992367211047e+01
1.368157627967471646e+00,1.367901576586559032e-01,8.843230465592223766e+01
1.380829765218092531e+00,1.380566533861609380e-01,8.841778619917886317e+01
1.393619274224142446e+00,1.393348661574842495e-01,8.840313332122491374e+01
1.406527242105237052e+00,1.406249041202026206e-01,8.838834477846963011e+01
1.419554766050101113e+00,1.419268764129852367e-01,8.837341931584434462e+01
1.432702953409830782e+00,1.432408931744769132e-01,8.835835566669736352e+01
1.445972921792019861e+00,1.445670655522550141e-01,8.834315255268776923e+01
1.459365799155756704e+00,1.459055057118610055e-01,8.832780868367841265e+01
1.472882723907502633e+00,1.472563268459065045e-01,8.831232275762786799e+01
1.486524844997856754e+00,1.486196431832553788e-01,8.829669346048143552e+01
1.500293322019218278e+00,1.499955699982806478e-01,8.828091946606112117e+01
1.514189325304352129e+00,1.513842236201983771e-01,8.826499943595486286e+01
1.528214036025869804e+00,1.527857214424779841e-01,8.824893201940430743e+01
1.542368646296628176e+00,1.542001819323294554e-01,8.823271585319218957e+01
1.556654359271061550e+00,1.556277246402684167e-01,8.821634956152811924e+01
1.571072389247450296e+00,1.570684702097587260e-01,8.819983175593385738e+01
1.585623961771137402e+00,1.585225403869340299e-01,8.818316103512707116e+01
1.600310313738700696e+00,1.599900580303974806e-01,8.816633598490462020e+01
1.615132693503090522e+00,1.614711471211011107e-01,8.814935517802425125e+01
1.630092360979740640e+00,1.629659327723047835e-01,8.813221717408561062e+01
1.645190587753662559e+00,1.644745412396148576e-01,8.811492051941013415e+01
1.660428657187529966e+00,1.659970999311036755e-01,8.809746374691968640e+01
1.675807864530767688e+00,1.675337374175095706e-01,8.807984537601444686e+01
1.691329517029648066e+00,1.690845834425185323e-01,8.806206391244933229e+01
1.706994934038407408e+00,1.706497689331267775e-01,8.804411784820970865e+01
1.722805447131394052e+00,1.722294260100858954e-01,8.802600566138572447e+01
1.738762400216250725e+00,1.738236879984300931e-01,8.800772581604567790e+01
1.754867149648150937e+00,1.754326894380862090e-01,8.798927676210819016e+01
1.771121064345087870e+00,1.770565660945664366e-01,8.797065693521331298e+01
1.787525525904235080e+00,1.786954549697452321e-01,8.795186475659248515e+01
1.804081928719382777e+00,1.803494943127191275e-01,8.793289863293733788e+01
1.820791680099463017e+00,1.820188236307510032e-01,8.791375695626737752e+01
1.837656200388171124e+00,1.837035837002987115e-01,8.789443810379637512e+01
1.854676923084698670e+00,1.854039165781284360e-01,8.787494043779778963e+01
1.871855294965578675e+00,1.871199656125128452e-01,8.785526230546896898e+01
1.889192776207666347e+00,1.888518754545145950e-01,8.783540203879387320e+01
1.906690840512252461e+00,1.905997920693555392e-01,8.781535795440512970e+01
1.924350975230330940e+00,1.923638627478715946e-01,8.779512835344441157e+01
1.942174681489025723e+00,1.941442361180536480e-01,8.777471152142180699e+01
1.960163474319185362e+00,1.959410621566747557e-01,8.775410572807396647e+01
1.978318882784164234e+00,1.977544922010041062e-01,8.773330922722098535e+01
1.996642450109793909e+00,1.995846789606073035e-01,8.771232025662200726e+01
2.015135733815557550e+00,2.014317765292340801e-01,8.769113703782967661e+01
2.033800305846981349e+00,2.032959403967925238e-01,8.766975777604319831e+01
2.052637752709252084e+00,2.051773274614114850e-01,8.764818065996028906e+01
2.071649675602068807e+00,2.070760960415889695e-01,8.762640386162769346e+01
2.090837690555750417e+00,2.089924058884301272e-01,8.760442553629046358e+01
2.110203428568595552e+00,2.109264181979708941e-01,8.758224382224000237e+01
2.129748535745520144e+00,2.128782956235905077e-01,8.755985684066078534e+01
2.149474673437980154e+00,2.148482022885120080e-01,8.753726269547566119e+01
2.169383518385184395e+00,2.168363037983900288e-01,8.751445947318990193e+01
